video,video_title,Date_Published,watch_time_minutes,views,average_view_duration,average_percentage_viewed (%),subscribers,video_thumbnail_impressions,video_thumbnail_impressions_ctr (%),estimated_unique_viewers,subscribers_gained,likes,shares,comments,card_clicks,cards_shown,clicks_per_card_shown (%),card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown (%),end_screen_element_clicks,end_screen_elements_shown,clicks_per_end_screen_element_shown (%)
Y_SMU701qlA,Predicting Season Long NBA Wins Using Multiple Linear Regression,7/10/2018,647.9871,227,2.8546,31.78,1,3623,4.09,,1,8,2,0,0,0,,0,0,,0,0,
KMOA5arCi8g,What I Learned From My Three Degrees,5/16/2019,614.1909,141,4.356,34.3,2,2492,3.13,,2,8,0,1,0,0,,0,0,,1,54,1.85
5jntoZX-Tc8,NASA Physicist Turned Data Scientist,5/5/2019,542.3892,174,3.1172,16.7,1,2770,3.83,,1,6,0,1,0,0,,0,0,,0,33,0
a-Syoa9mPhM,Take Your Data Science Projects From Good to Great,8/4/2019,535.4377,205,2.6119,32.38,5,5377,2.38,,6,16,1,1,2,5,40,3,107,2.8,2,104,1.92
1UjMBw_7Gi8,Data Science: Startup vs. Large Corporation,3/21/2019,514.279,268,1.9189,41.12,4,3780,4.02,,4,11,1,1,0,0,,0,0,,2,172,1.16
3BEtGaz70rQ,How Far Should the NBA 3-Point Line Actually Be?,9/21/2019,422.2909,150,2.8153,29.27,0,1661,3.55,,0,9,2,4,0,0,,0,0,,0,54,0
3cDM9Z-fdz4,Golf STATS: Strokes Gained Explained,6/6/2019,406.1543,101,4.0213,41.96,1,3038,2.04,,1,6,1,0,0,0,,0,0,,1,64,1.56
smeFkHwnM_k,Welcome To My Channel | Ken Jee | Data Science,3/2/2019,363.8124,770,0.4725,55.59,16,6790,1.5,,16,13,1,3,0,0,,0,0,,8,1020,0.78
k-gin1qfzi0,Building A Word Cloud From Scraped Data,9/3/2019,327.5894,144,2.2749,10.33,2,1988,3.82,,2,8,3,1,0,0,,0,0,,1,28,3.57
Yr5T3T4tq-g,Most Data Science Hopefuls Overlook This Important Skill,5/25/2019,268.5539,121,2.2195,61.65,2,2053,3.17,,2,13,0,1,0,0,,0,0,,0,0,
q8cEt8gj3zY,"Data Science, Machine Learning, and AI: What's the Difference?",3/16/2019,234.2885,118,1.9855,44.79,2,2495,2.24,,2,11,0,1,0,0,,0,0,,0,96,0
XoUyK3XHZHs,Watch This Before Applying to Data Science Jobs,2/4/2019,224.1906,83,2.7011,27.01,3,2413,2.11,,3,8,0,2,4,5,80,4,21,19.05,1,27,3.7
Zz_Mx1UPswI,Thank You For The Support | What's Next | Ken Jee | Data Science,8/26/2019,217.4498,280,0.7766,40.87,6,2481,2.58,,6,14,4,12,0,0,,0,0,,1,144,0.69
XTrlMQXYqts,Why You DON'T Want to be a WFH Data Scientist,3/3/2019,205.138,114,1.7994,42.51,3,2641,2.92,,3,12,0,2,0,0,,0,0,,1,73,1.37
FBgs-BSTIJE,Demystifying Data Science Roles,11/29/2018,199.6668,77,2.5931,41.49,1,1857,2.48,,1,9,1,0,0,0,,0,0,,1,54,1.85
j-Z-je6K4Yg,IT'S NOT TOO LATE TO LEARN CODE!,12/17/2018,116.7469,65,1.7961,57.94,1,1601,3,,1,8,0,0,0,0,,0,0,,0,0,
3ysXGYjvbSU,Why is Balance Important in Data Science?,10/16/2019,106.9295,60,1.7822,44.93,-1,604,6.13,,1,4,1,3,0,0,,0,20,0,0,30,0
